scene,frame,generation,pages,palettes,bytes,hash,stage_us,encode_us,queue_us,commit_us
2117,3500,1,4096,7,16800920,fa5171999476382a,23363.100,9025.900,1034.700,20203.500
2118,3501,2,0,7,7320,fa5171999476382a,1275.900,4.200,7.300,0.200
2119,3502,3,0,7,7320,fa5171999476382a,1352.000,4.200,8.900,0.200
2120,3503,4,0,7,7320,fa5171999476382a,1332.700,3.900,7.100,0.100
2121,3504,5,0,7,7320,fa5171999476382a,1204.500,3.100,7.400,0.200
2122,3505,6,0,7,7320,fa5171999476382a,1226.400,3.600,8.500,0.200
2123,3506,7,0,7,7320,fa5171999476382a,1229.300,3.300,9.700,0.600
2124,3507,8,0,7,7320,fa5171999476382a,1385.800,4.200,9.700,0.200
2125,3508,9,0,7,7320,fa5171999476382a,1343.400,3.800,8.300,0.200
2126,3509,10,0,7,7320,fa5171999476382a,1288.500,3.700,8.000,0.200
2127,3510,11,0,7,7320,fa5171999476382a,1207.300,3.400,8.600,0.200
2128,3511,12,0,7,7320,fa5171999476382a,1251.800,4.100,10.000,0.300
2129,3512,13,0,7,7320,fa5171999476382a,1300.400,3.500,7.600,0.100
2130,3513,14,0,7,7320,fa5171999476382a,1281.000,5.400,8.700,0.200
2131,3514,15,0,7,7320,fa5171999476382a,1299.900,4.800,7.900,0.100
2132,3515,16,0,7,7320,fa5171999476382a,1264.800,3.900,7.500,0.200
2133,3516,17,0,7,7320,fa5171999476382a,1351.300,4.600,10.300,0.400
2134,3517,18,0,7,7320,fa5171999476382a,1301.100,4.100,8.800,0.200
2135,3518,19,0,7,7320,fa5171999476382a,1227.500,3.600,8.200,0.200
2136,3519,20,0,7,7320,fa5171999476382a,1362.400,4.000,10.000,0.200
2137,3520,21,0,7,7320,fa5171999476382a,1355.600,3.800,9.900,0.200
2138,3521,22,0,7,7320,fa5171999476382a,1246.700,3.500,8.700,0.200
2139,3522,23,0,7,7320,fa5171999476382a,1263.900,4.000,56.900,0.300
2140,3523,24,0,7,7320,fa5171999476382a,1243.000,4.600,9.000,0.200
2141,3524,25,0,7,7320,fa5171999476382a,1205.900,4.000,9.000,0.200
2142,3525,26,0,7,7320,fa5171999476382a,1267.700,3.400,9.800,0.200
2143,3526,27,0,7,7320,fa5171999476382a,1252.600,3.500,9.400,0.600
2144,3527,28,0,7,7320,fa5171999476382a,1502.900,5.300,10.100,0.200
2145,3528,29,0,7,7320,fa5171999476382a,1447.500,4.400,10.500,0.200
