scene,frame,generation,pages,palettes,bytes,hash,decode_us,upload_us,snapshot_us
2117,3500,1,4096,7,16800920,fa5171999476382a,24242.600,2011.200,0.100
2118,3501,2,0,7,7320,fa5171999476382a,13.200,141.000,0.200
2119,3502,3,0,7,7320,fa5171999476382a,13.600,129.300,0.200
2120,3503,4,0,7,7320,fa5171999476382a,12.500,159.800,0.100
2121,3504,5,0,7,7320,fa5171999476382a,11.400,126.700,0.100
2122,3505,6,0,7,7320,fa5171999476382a,13.000,211.300,0.200
2123,3506,7,0,7,7320,fa5171999476382a,22.500,185.700,0.200
2124,3507,8,0,7,7320,fa5171999476382a,12.200,182.300,0.100
2125,3508,9,0,7,7320,fa5171999476382a,13.400,164.100,0.100
2126,3509,10,0,7,7320,fa5171999476382a,11.800,195.000,0.200
2127,3510,11,0,7,7320,fa5171999476382a,11.800,158.900,0.100
2128,3511,12,0,7,7320,fa5171999476382a,21.200,117.700,0.100
2129,3512,13,0,7,7320,fa5171999476382a,11.700,120.500,0.100
2130,3513,14,0,7,7320,fa5171999476382a,15.500,172.900,0.100
2131,3514,15,0,7,7320,fa5171999476382a,12.900,170.400,0.500
2132,3515,16,0,7,7320,fa5171999476382a,14.700,163.300,0.100
2133,3516,17,0,7,7320,fa5171999476382a,19.600,194.200,0.200
2134,3517,18,0,7,7320,fa5171999476382a,18.500,178.100,0.200
2135,3518,19,0,7,7320,fa5171999476382a,23.700,177.300,0.300
2136,3519,20,0,7,7320,fa5171999476382a,21.100,158.500,0.100
2137,3520,21,0,7,7320,fa5171999476382a,13.400,136.900,0.400
2138,3521,22,0,7,7320,fa5171999476382a,13.100,242.100,0.500
2139,3522,23,0,7,7320,fa5171999476382a,13.900,166.900,0.100
2140,3523,24,0,7,7320,fa5171999476382a,10.800,155.700,0.100
2141,3524,25,0,7,7320,fa5171999476382a,12.600,145.900,0.300
2142,3525,26,0,7,7320,fa5171999476382a,12.100,329.400,0.200
2143,3526,27,0,7,7320,fa5171999476382a,23.300,168.600,0.200
2144,3527,28,0,7,7320,fa5171999476382a,12.800,185.900,0.200
2145,3528,29,0,7,7320,fa5171999476382a,12.800,155.500,0.100
2146,3529,30,0,7,7320,fa5171999476382a,13.300,140.100,0.200
2147,3530,31,0,7,7320,fa5171999476382a,31.900,148.500,0.500
2148,3531,32,0,7,7320,fa5171999476382a,13.300,128.100,0.200
2149,3532,33,0,7,7320,fa5171999476382a,15.400,171.700,0.100
2150,3533,34,0,7,7320,fa5171999476382a,11.900,168.600,0.200
2151,3534,35,0,7,7320,fa5171999476382a,14.300,150.900,0.100
2152,3535,36,0,7,7320,fa5171999476382a,13.100,190.500,0.200
2153,3536,37,0,7,7320,fa5171999476382a,16.300,161.600,0.200
2154,3537,38,0,7,7320,fa5171999476382a,12.900,142.400,0.100
2155,3538,39,0,7,7320,fa5171999476382a,13.700,169.600,0.100
2156,3539,40,0,7,7320,fa5171999476382a,16.100,148.500,0.100
2157,3540,41,0,7,7320,fa5171999476382a,12.900,139.600,0.500
2158,3541,42,0,7,7320,fa5171999476382a,13.200,773.700,0.500
2159,3542,43,0,7,7320,fa5171999476382a,13.200,146.900,0.100
2160,3543,44,0,7,7320,fa5171999476382a,13.000,175.200,0.500
2161,3544,45,0,7,7320,fa5171999476382a,14.900,168.200,0.200
2162,3545,46,0,7,7320,fa5171999476382a,29.900,156.000,0.100
2163,3546,47,0,7,7320,fa5171999476382a,13.100,171.500,0.500
2164,3547,48,0,7,7320,fa5171999476382a,12.600,150.900,0.200
2165,3548,49,0,7,7320,fa5171999476382a,11.400,147.000,0.200
2166,3549,50,0,7,7320,fa5171999476382a,12.600,143.900,0.400
2167,3550,51,0,7,7320,fa5171999476382a,24.300,148.700,0.400
2168,3551,52,0,7,7320,fa5171999476382a,13.900,204.800,0.400
2169,3552,53,0,7,7320,fa5171999476382a,13.500,190.700,0.200
2170,3553,54,0,7,7320,fa5171999476382a,14.700,161.400,0.200
2171,3554,55,0,7,7320,fa5171999476382a,13.300,158.500,0.100
2172,3555,56,0,7,7320,fa5171999476382a,13.000,151.000,0.400
2173,3556,57,0,7,7320,fa5171999476382a,13.100,164.500,0.400
2174,3557,58,0,7,7320,fa5171999476382a,11.700,175.700,0.200
2175,3558,59,0,7,7320,fa5171999476382a,11.600,218.400,0.100
2176,3559,60,0,7,7320,fa5171999476382a,12.600,238.500,0.300
2177,3560,61,0,7,7320,fa5171999476382a,13.600,148.200,0.100
2178,3561,62,0,7,7320,fa5171999476382a,12.900,156.500,0.100
2179,3562,63,0,7,7320,fa5171999476382a,14.700,172.400,0.400
2180,3563,64,0,7,7320,fa5171999476382a,14.100,176.800,0.100
2181,3564,65,0,7,7320,fa5171999476382a,12.900,167.500,0.200
2182,3565,66,0,7,7320,fa5171999476382a,14.400,276.200,0.200
2183,3566,67,0,7,7320,fa5171999476382a,13.100,165.800,0.200
2184,3567,68,0,7,7320,fa5171999476382a,31.700,147.500,0.100
2185,3568,69,0,7,7320,fa5171999476382a,14.300,252.400,0.200
2186,3569,70,0,7,7320,fa5171999476382a,12.200,189.500,0.100
2187,3570,71,0,7,7320,fa5171999476382a,12.800,177.700,0.200
2188,3571,72,0,7,7320,fa5171999476382a,12.900,157.200,0.100
2189,3572,73,0,7,7320,fa5171999476382a,13.800,193.500,0.100
2190,3573,74,0,7,7320,fa5171999476382a,12.500,157.100,0.100
2191,3574,75,0,7,7320,fa5171999476382a,13.800,235.300,0.000
2192,3575,76,0,7,7320,fa5171999476382a,14.300,138.900,0.100
2193,3576,77,0,7,7320,fa5171999476382a,19.700,203.900,0.100
2194,3577,78,0,7,7320,fa5171999476382a,13.300,158.700,0.200
2195,3578,79,0,7,7320,fa5171999476382a,20.400,141.500,0.200
2196,3579,80,0,7,7320,fa5171999476382a,11.700,149.300,0.200
2197,3580,81,0,7,7320,fa5171999476382a,13.300,166.100,0.400
2198,3581,82,0,7,7320,fa5171999476382a,12.900,150.000,0.200
2199,3582,83,0,7,7320,fa5171999476382a,11.200,151.500,0.200
2200,3583,84,0,7,7320,fa5171999476382a,18.200,192.800,0.200
2201,3584,85,0,7,7320,fa5171999476382a,34.600,200.900,0.200
2202,3585,86,0,7,7320,fa5171999476382a,25.000,179.300,0.200
2203,3586,87,0,7,7320,fa5171999476382a,13.300,176.500,0.100
2204,3587,88,0,7,7320,fa5171999476382a,12.700,302.500,0.200
2205,3588,89,0,7,7320,fa5171999476382a,12.100,152.800,0.100
2206,3589,90,0,7,7320,fa5171999476382a,17.400,152.300,0.200
2207,3590,91,0,7,7320,fa5171999476382a,12.400,134.800,0.100
2208,3591,92,0,7,7320,fa5171999476382a,12.400,144.600,0.100
2209,3592,93,0,7,7320,fa5171999476382a,13.400,217.000,0.300
2210,3593,94,0,7,7320,fa5171999476382a,13.000,144.400,0.500
2211,3594,95,0,7,7320,fa5171999476382a,14.900,162.100,0.500
2212,3595,96,0,7,7320,fa5171999476382a,11.800,131.300,0.100
2213,3596,97,0,7,7320,fa5171999476382a,17.000,164.000,0.200
2214,3597,98,0,7,7320,fa5171999476382a,12.800,140.700,0.200
2215,3598,99,0,7,7320,fa5171999476382a,18.100,245.500,0.200
2216,3599,100,0,7,7320,fa5171999476382a,13.800,168.900,0.400
2217,3600,101,0,7,7320,fa5171999476382a,12.800,183.800,0.200
2218,3601,102,0,7,7320,fa5171999476382a,12.500,223.000,0.200
2219,3602,103,0,7,7320,fa5171999476382a,23.300,280.800,0.300
2220,3603,104,0,7,7320,fa5171999476382a,12.800,226.400,0.200
